,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000005281,YNL337W,,40.0,178.579240024,4.4644810006,"[0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.32581928, 0.50805455, 0.51037961, 0.65339392, 1.6652943, 1.8812718, 2.7775152, 2.7775152, 2.9230921, 2.9230921, 3.2629421, 3.3404546, 3.9150188, 3.9150188, 4.5982523, 4.9580874, 4.9791493, 4.9791493, 5.1247258, 5.4435143, 5.4645758, 5.7654424, 6.4175191, 6.7450938, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000003923,YJR162C,,33.0,170.99720715,5.18173355,"[0.2242616, 0.32581928, 0.32581928, 0.32581928, 0.74376839, 1.6652943, 2.3173709, 2.9230921, 2.9230921, 3.3404546, 3.5144808, 3.9150188, 3.9150188, 3.9999077, 4.9791493, 5.4645758, 5.7654424, 5.7654424, 6.4175191, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000000019,YAL021C,CCR4,34.0,161.898344785,4.76171602309,"[0.093017071, 0.50805455, 0.50805455, 0.51037961, 0.82998264, 1.1413947, 1.7681774, 2.7775152, 2.9230921, 3.1925528, 3.2629421, 3.3404546, 3.9150188, 3.9999077, 4.3300562, 4.5430498, 4.5982523, 4.7067766, 5.4435143, 5.7654424, 5.7654424, 6.0930171, 6.0930171, 6.3637872, 6.5316901, 6.5316901, 6.7998862, 6.8536181, 7.1374111, 7.4593391, 7.858552, 8.9467278, 9.5524483, 11.754083]","Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
S000005283,YNL339C,YRF1-6,36.0,159.972867548,4.44369076524,"[0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.32581928, 0.51037961, 0.65339392, 0.92541713, 1.6652943, 1.8812718, 2.7775152, 2.7775152, 2.9230921, 3.3404546, 3.9150188, 3.9150188, 4.5982523, 4.9580874, 4.9791493, 4.9791493, 5.1247258, 5.4435143, 5.7654424, 6.4175191, 6.7450938, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278]",Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
S000004454,YLR462W,,26.0,153.590716884,5.90733526475,"[0.2242616, 0.32581928, 0.51037961, 0.65339392, 0.92541713, 2.7775152, 3.3404546, 5.1247258, 5.2800155, 5.4435143, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]",Putative protein of unknown function with similarity to helicases; YLR462W is within the telomere on the right arm of chromosome XII
S000002838,YDR430C,CYM1,32.0,152.537898436,4.76680932613,"[0.2242616, 0.50805455, 0.76191837, 0.8112461, 1.2473452, 1.2473452, 1.2473452, 1.7681774, 1.8585519, 1.8812718, 1.8812718, 3.5144808, 3.5144808, 3.5337121, 3.5564322, 4.5982523, 5.6075902, 6.0930171, 6.2015414, 6.4175191, 6.4175191, 6.4175191, 6.8536181, 6.8536181, 8.294651, 8.294651, 8.294651, 8.294651, 8.5106287, 8.9467278, 9.2248745, 9.6609735]",Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology
S000001708,YKL225W,,34.0,151.971224479,4.46974189645,"[0.093017071, 0.11573715, 0.2242616, 0.32581928, 0.32581928, 1.6652943, 1.8812718, 2.3173709, 2.4189286, 2.9230921, 3.5144808, 3.5144808, 3.5144808, 3.5564322, 3.9150188, 3.9150188, 3.9150188, 3.9999077, 4.5430498, 4.5982523, 4.9791493, 4.9791493, 5.2800155, 5.4645758, 5.7654424, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000003093,YGL125W,MET13,25.0,145.962973833,5.83851895332,"[0.093017071, 0.093017071, 0.51037961, 0.82998264, 1.5774938, 2.5051429, 2.9230921, 3.5564322, 3.6779795, 4.3300562, 4.6519842, 6.0930171, 6.0955911, 6.4175191, 6.4175191, 7.4593391, 7.4593391, 8.5106287, 8.9467278, 9.3390455, 9.5524483, 9.6609735, 11.754083, 11.754083, 11.754083]","Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"
S000000017,YAL019W,FUN30,32.0,144.382044175,4.51193888046,"[0.0038911784, 0.093017071, 0.50805455, 0.51037961, 0.82998264, 0.92541713, 1.2291952, 1.7908975, 2.5051429, 2.7775152, 2.9043555, 2.9230921, 3.2629421, 3.5144808, 3.6779795, 3.9150188, 3.9999077, 4.5982523, 4.5982523, 4.7067766, 5.7654424, 6.0930171, 6.5316901, 6.8536181, 7.1374111, 7.8092241, 7.858552, 8.294651, 8.5106287, 8.9467278, 9.5524483, 11.754083]","Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
S000002841,YDR433W,,32.0,144.039381161,4.50123066129,"[0.2242616, 0.50805455, 0.72635722, 0.76191837, 0.8112461, 1.2473452, 1.2473452, 1.2473452, 1.7681774, 1.8585519, 1.8812718, 1.8812718, 3.5144808, 3.5144808, 3.5337121, 3.5564322, 4.5982523, 5.6075902, 6.0930171, 6.2015414, 6.4175191, 6.4175191, 6.4175191, 6.8536181, 6.8536181, 8.294651, 8.294651, 8.294651, 8.294651, 8.5106287, 8.9467278, 9.6609735]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000000643,YCR047C,BUD23,33.0,142.778393999,4.32661799996,"[0.2242616, 0.48931801, 0.76191837, 0.82998264, 1.1388208, 1.1413947, 1.2473452, 1.2473452, 1.4633228, 2.294651, 2.5051429, 2.5955174, 2.8550277, 3.0316164, 3.9698112, 3.9999077, 4.3300562, 5.3941865, 5.4645758, 5.4645758, 5.6075902, 6.0930171, 6.0955911, 6.2015414, 6.2015414, 6.4175191, 6.5316901, 6.7998862, 6.7998862, 7.1374111, 9.3390455, 9.5524483, 9.5524483]",Methyltransferase that methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern; functional homolog of human WBSCR22
S000002953,YDR545W,YRF1-1,23.0,140.136280313,6.09288175274,"[0.2242616, 0.51037961, 0.65339392, 0.92541713, 2.7775152, 4.9580874, 5.1247258, 5.2800155, 5.4435143, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]",Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
S000004110,YLR120C,YPS1,33.0,138.440236129,4.19515867057,"[0.074280508, 0.093017071, 0.51037961, 0.65339392, 0.76191837, 1.1388208, 1.6652943, 1.8994219, 2.4189286, 2.5051429, 2.5051429, 2.7096884, 2.9230921, 3.2629421, 3.5564322, 3.6779795, 3.9150188, 3.9925313, 4.3300562, 4.6519842, 4.6519842, 4.7067766, 6.0930171, 6.1166525, 6.4175191, 6.7450938, 6.8536181, 6.8536181, 7.4593391, 7.8092241, 8.4879084, 9.3390455, 9.6609735]","Aspartic protease; hyperglycosylated member of the yapsin family of proteases, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p, resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor"
S000003165,YGL197W,MDS3,26.0,137.902639123,5.30394765856,"[0.024952793, 0.11573715, 0.82998264, 2.2735894, 2.4189286, 2.7096884, 2.8550277, 3.5337121, 3.5337121, 3.9150188, 3.9698112, 3.9698112, 4.6519842, 4.9580874, 5.6075902, 5.6075902, 5.8796134, 6.2015414, 6.7450938, 6.7450938, 8.9029455, 8.9467278, 9.5524483, 11.317984, 11.317984, 11.317984]","Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog, PMD1, that arose from the whole genome duplication"
S000003528,YGR296W,YRF1-3,33.0,136.355546176,4.13198624777,"[0.093017071, 0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.50805455, 0.51037961, 0.65339392, 0.92541713, 2.4189286, 2.7775152, 3.3404546, 3.5144808, 3.9150188, 3.9150188, 3.9925313, 4.5982523, 4.5982523, 4.9580874, 5.1247258, 5.4435143, 5.4645758, 5.4645758, 5.7654424, 6.4175191, 6.7223735, 6.7450938, 6.8536181, 6.8536181, 7.3731251, 7.8092241, 8.9467278, 9.5524483]",Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
S000005185,YNL241C,ZWF1,29.0,135.044359859,4.65670206411,"[0.024952793, 0.024952793, 0.074280508, 0.51037961, 0.76191837, 1.1624563, 1.2473452, 1.2473452, 1.7681774, 1.7681774, 2.294651, 3.0316164, 3.2629421, 3.9150188, 3.9698112, 5.4645758, 5.6075902, 6.5316901, 6.8536181, 7.3731251, 7.4593391, 7.4593391, 8.4879084, 8.5106287, 8.9467278, 8.9467278, 9.3390455, 9.3390455, 9.6609735]",Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA replication stress; homolog of human G6PD which is deficient in patients with hemolytic anemia; human G6PD can complement yeast zwf1 null mutant
S000006406,YPR202W,,30.0,134.638874829,4.48796249429,"[0.093017071, 0.093017071, 0.50805455, 0.74376839, 0.74376839, 0.92541713, 1.4633228, 1.7908975, 2.3173709, 2.3173709, 3.3404546, 3.9150188, 4.5982523, 4.5982523, 4.6519842, 4.6519842, 5.4435143, 5.6805534, 5.6805534, 5.7161145, 6.0930171, 6.1166525, 6.7450938, 6.8536181, 6.8536181, 7.858552, 7.858552, 8.5106287, 8.9240074, 9.5524483]",Putative protein of unknown function; similar to telomere-encoded helicases; down-regulated at low calcium levels; YPR202W is not an essential gene; transcript is predicted to be spliced but there is no evidence that it is spliced in vivo
S000004888,YMR275C,BUL1,25.0,133.932602942,5.35730411768,"[0.50805455, 0.82998264, 1.5774938, 1.7681774, 1.7681774, 2.4189286, 2.7775152, 2.9043555, 3.5337121, 3.5564322, 4.7067766, 5.7161145, 5.7654424, 5.8796134, 6.0930171, 6.3637872, 6.7450938, 6.8536181, 7.4593391, 8.5106287, 9.5524483, 9.6609735, 9.6609735, 9.6609735, 9.6609735]","Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication"
S000006171,YPL250C,ATG41,25.0,132.545600355,5.30182401419,"[0.65339392, 0.82998264, 1.2473452, 1.7681774, 2.2735894, 2.3173709, 2.5051429, 2.7775152, 2.8550277, 3.5564322, 3.6779795, 4.5430498, 4.6886268, 5.8796134, 6.0930171, 6.4175191, 6.8536181, 7.3731251, 7.858552, 7.858552, 8.5106287, 8.9467278, 9.5524483, 11.754083, 11.754083]","Protein of unknown function; required for selective and nonselective autophagy, and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p, and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog, ICY1, that arose from the whole genome duplication"
S000000644,YCR048W,ARE1,26.0,132.399416462,5.09228524852,"[0.2242616, 0.65339392, 0.82998264, 1.8585519, 2.294651, 3.3404546, 3.3404546, 3.5564322, 3.9698112, 3.9999077, 3.9999077, 4.5982523, 4.5982523, 4.9791493, 5.7161145, 6.0955911, 6.2015414, 6.4175191, 6.5316901, 6.8536181, 7.4593391, 8.5106287, 8.9240074, 8.9467278, 8.9467278, 9.5524483]","Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen; ARE1 has a paralog, ARE2, that arose from the whole genome duplication"
S000004319,YLR327C,TMA10,38.0,131.950975228,3.47239408495,"[0.024952793, 0.024952793, 0.11573715, 0.11573715, 0.17052962, 0.32581928, 0.48931801, 0.51037961, 0.76191837, 0.76191837, 1.2291952, 1.2291952, 1.7908975, 1.7908975, 1.8994219, 2.1832149, 2.3173709, 2.4189286, 2.5955174, 2.8550277, 3.2629421, 3.5564322, 3.9150188, 3.9698112, 3.9925313, 4.6519842, 4.6886268, 4.7067766, 5.6805534, 5.7654424, 6.1166525, 6.1166525, 6.7223735, 6.8536181, 7.8092241, 9.2248745, 9.5524483, 11.754083]","Protein of unknown function that associates with ribosomes; protein abundance increases in response to DNA replication stress; TMA10 has a paralog, STF2, that arose from the whole genome duplication"
S000003203,YGL234W,"ADE5,7",31.0,130.01643693,4.19407861064,"[0.0038911784, 0.024952793, 0.11573715, 0.2242616, 0.51037961, 0.65339392, 0.72635722, 1.1388208, 1.1624563, 1.7681774, 1.8812718, 2.3173709, 2.8550277, 3.5564322, 3.9150188, 4.3300562, 4.3848486, 4.5430498, 4.6886268, 4.7067766, 5.1247258, 6.2015414, 6.7223735, 6.7223735, 6.7998862, 7.3731251, 7.4593391, 7.8092241, 9.6609735, 11.317984, 11.317984]",Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities
S000005859,YOR332W,VMA4,28.0,128.84621411,4.60165050393,"[0.024952793, 0.093017071, 0.093017071, 0.2242616, 0.2242616, 0.65339392, 1.6652943, 1.7681774, 1.8585519, 2.9043555, 2.9043555, 3.9698112, 3.9925313, 4.3300562, 4.6519842, 6.2015414, 6.7223735, 6.8536181, 6.8536181, 7.1374111, 7.1374111, 7.4593391, 7.8092241, 7.8092241, 8.294651, 8.9240074, 8.9467278, 9.3390455]",Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase); V-ATPase is an electrogenic proton pump found throughout the endomembrane system; V1 domain has eight subunits; required for the V1 domain to assemble onto the vacuolar membrane; protein abundance increases in response to DNA replication stress
S000000646,YCR050C,,31.0,127.073396288,4.09914181574,"[0.11573715, 0.2242616, 0.74376839, 0.8112461, 0.8112461, 1.1388208, 1.2473452, 1.7681774, 2.4189286, 2.5051429, 2.7096884, 2.7096884, 2.9043555, 3.2629421, 3.2629421, 3.3404546, 3.5564322, 3.6779795, 4.3300562, 4.5982523, 5.1247258, 6.2015414, 6.2015414, 6.7223735, 6.7223735, 7.1374111, 7.4593391, 8.294651, 8.294651, 9.2248745, 9.5524483]",Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein
S000000545,YCL040W,GLK1,29.0,126.796912581,4.37230733037,"[0.32581928, 0.51037961, 0.72635722, 0.76191837, 1.4633228, 1.4633228, 1.5774938, 1.7681774, 2.2735894, 2.4189286, 2.5051429, 2.5051429, 2.8550277, 3.5144808, 3.5337121, 3.9698112, 4.7067766, 6.1166525, 6.1166525, 6.5316901, 6.5316901, 6.7223735, 6.8536181, 7.4593391, 7.4593391, 8.5106287, 8.5106287, 9.5524483, 9.5524483]","Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication"
S000028508,YCL005W-A,VMA9,31.0,125.843304187,4.05946142539,"[0.074280508, 0.11573715, 0.2242616, 0.65339392, 0.65339392, 1.2473452, 1.4633228, 1.8994219, 2.294651, 2.5051429, 2.5051429, 2.9043555, 3.0316164, 3.3404546, 3.3404546, 3.6779795, 3.9925313, 4.3848486, 4.6519842, 4.9791493, 5.4645758, 5.6075902, 5.7654424, 6.0930171, 6.2015414, 6.2015414, 6.8536181, 7.3731251, 8.294651, 8.294651, 11.754083]",Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex; essential for vacuolar acidification; interacts with the V-ATPase assembly factor Vma21p in the ER; involved in V0 biogenesis
S000005151,YNL207W,RIO2,27.0,125.37266624,4.64343208295,"[1.8585519, 1.8994219, 2.294651, 2.3173709, 2.4189286, 2.5051429, 2.9043555, 3.2629421, 3.3404546, 3.5564322, 3.5564322, 3.9999077, 4.6519842, 4.6519842, 4.6519842, 5.1247258, 5.6075902, 5.7654424, 6.0930171, 6.0955911, 6.1166525, 6.7223735, 6.7450938, 6.8536181, 7.4593391, 7.4593391, 7.4593391]",Essential serine kinase involved in the processing of 20S pre-rRNA; involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p
S000004328,YLR336C,SGD1,34.0,124.736982621,3.66873478298,"[0.093017071, 0.11573715, 0.8112461, 0.92541713, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.4633228, 1.7681774, 1.8994219, 1.8994219, 1.8994219, 1.8994219, 2.294651, 2.4189286, 3.2629421, 3.5564322, 3.9999077, 3.9999077, 4.5982523, 4.5982523, 4.5982523, 4.9791493, 5.7161145, 5.7654424, 6.0930171, 6.2015414, 6.3637872, 6.3637872, 6.7450938, 6.8536181, 8.9029455, 9.6609735]",Essential nuclear protein; required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia
S000002302,YDL143W,CCT4,28.0,124.145049572,4.43375177043,"[0.43999028, 0.72635722, 1.7681774, 1.7908975, 1.7908975, 1.7908975, 1.8994219, 2.1832149, 2.2735894, 2.3173709, 2.7775152, 2.7775152, 2.9230921, 2.9230921, 3.5564322, 3.9150188, 3.9999077, 5.0284767, 5.4435143, 5.7161145, 6.3637872, 7.1374111, 7.8092241, 7.858552, 8.294651, 9.6609735, 9.6609735, 11.317984]","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo"
